,id,track_name,n_citacoes,size_bytes,price,prime_genre
82,302584613,"Kindle – Read eBooks, Magazines & Textbooks",0,169747456,0.0,Book
455,379693831,"Audible – audio books, original series & podcasts",0,81558528,0.0,Book
4207,1031002863,Color Therapy Adult Coloring Book for Adults,1,135236608,0.0,Book
387,366869252,OverDrive – Library eBooks and Audiobooks,12,39844864,0.0,Book
4137,1024818709,HOOKED - Chat Stories,0,94545920,0.0,Book
1029,476508724,A Charlie Brown Christmas + iMessage Sticker Pack!,0,121874432,5.99,Book
2665,876336838,喜马拉雅FM（听书社区）电台有声小说相声英语,0,130731008,0.0,Book
853,444553118,Jesus Calling Devotional by Sarah Young,4,125770752,9.99,Book
2875,906936224,快看漫画,17,63058944,0.0,Book
4793,1061132313,CHOMP by Christoph Niemann,0,49474560,1.99,Book
