,id,track_name,n_citacoes,size_bytes,price,prime_genre
7,284035177,Pandora - Music & Radio,100,130242560,0.0,Music
178,324684580,Spotify Music,100,132510720,0.0,Music
18,284993459,"Shazam - Discover music, artists, videos & lyrics",0,147093504,0.0,Music
35,290638154,iHeartRadio – Free Music & Radio Stations,0,116443136,0.0,Music
238,336353151,SoundCloud - Music & Audio,100,105009152,0.0,Music
713,421254504,Magic Piano by Smule,0,55030784,0.0,Music
1229,509993510,Smule Sing!,100,109940736,0.0,Music
701,418987775,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,0,101735424,0.0,Music
1236,510855668,Amazon Music,100,77778944,0.0,Music
329,355554941,SoundHound Song Search & Music Player,0,70516736,0.0,Music
